family,indicator_type,value,asn,org,registrar,registrant,country,created,contact_emails,network_name,summary,caveat
phantomheart,ip,31.56.227.61,AS56971,Farhad Soltani; GOLD-MNT; lir-ae-goldip-1-MNT; CGI GLOBAL LIMITED; CloudBackbone NOC,,,LV,,,CloudBackbone,netname:        CloudBackbone | country:        LV | org-name:       CGI GLOBAL LIMITED | country:        HK | origin:         AS56971 | descr:          CloudBackbone,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,31.58.137.197,AS56594,netutils-mnt; Private Customer,,,LV,,,NET-31-58-137-0-24,netname:        NET-31-58-137-0-24 | country:        LV | org-name:       Private Customer | country:        HK | origin:         AS56594 | origin:         AS56971,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,31.56.48.178,AS56971,Farhad Soltani; GOLD-MNT; CloudBackbone NOC; lir-ae-goldip-1-MNT; CGI GLOBAL LIMITED,,,FR,,,CloudBackbone,netname:        CloudBackbone | country:        FR | org-name:       CGI GLOBAL LIMITED | country:        HK | origin:         AS56971 | descr:          CloudBackbone,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,193.176.153.162,,mnt-ru-cloud4y-1; Nikolay Fokin; LLC Flex; RIPE-NCC-HM-MNT; ORG-NCC1-RIPE; Abuse-C Role,,,RU,,,RU-CLOUD4Y-20191118,netname:        RU-CLOUD4Y-20191118 | country:        RU | org-name:       LLC Flex | country:        RU,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,188.127.254.233,AS56694,mnt-ru-llcsmartape-1; SA NOC; SA Abuse,,,RU,,,SmartApe,netname:        SmartApe | country:        RU | descr:          SmartApe | origin:         AS56694,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,94.183.188.166,AS56971,Farhad Soltani; GOLD-MNT; lir-ae-goldip-1-MNT; CGI GLOBAL LIMITED; CloudBackbone NOC,,,FR,,,CloudBackbone,netname:        CloudBackbone | country:        FR | org-name:       CGI GLOBAL LIMITED | country:        HK | origin:         AS56971 | descr:          CloudBackbone,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,80.66.81.13,AS207957,ABUSE NOC; SERV.HOST GROUP LTD; ru-avm-1-mnt; SERVHOST-MNT,,,RU,,,AS210546-iPv4,"netname:        AS210546-iPv4 | country:        RU | descr:          Russia, Moscow | org-name:       SERV.HOST GROUP LTD | origin:         AS207957","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,213.232.204.111,AS56971,CloudBackbone NOC; lir-hk-cgiglobal-1-MNT; CGI GLOBAL LIMITED; RIPE-NCC-HM-MNT; ORG-NCC1-RIPE,,,LV,,,HK-CGIGLOBAL-20210727,netname:        HK-CGIGLOBAL-20210727 | descr:          as56971 network | country:        LV | org-name:       CGI GLOBAL LIMITED | country:        HK | origin:         AS56971,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,31.56.227.100,AS56971,Farhad Soltani; GOLD-MNT; lir-ae-goldip-1-MNT; CGI GLOBAL LIMITED; CloudBackbone NOC,,,LV,,,CloudBackbone,netname:        CloudBackbone | country:        LV | org-name:       CGI GLOBAL LIMITED | country:        HK | origin:         AS56971 | descr:          CloudBackbone,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,176.98.189.101,AS214798,Digital City Admin; Digital City FZE; Renets-mnt; Abuse-C Role,,,NL,,,VPS1-NET,netname:        VPS1-NET | country:        NL | org-name:       Digital City FZE | country:        AE | origin:         AS214798,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,ip,178.255.127.65,AS56694,mnt-ru-llcsmartape-1; SA NOC; SA Abuse,,,RU,,,SmartApe,netname:        SmartApe | country:        RU | origin:         AS56694,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,aegissecurity.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-15T08:29:57.000Z,,,"Creation Date: 2025-10-15T08:29:57.000Z | Registrar: NameCheap, Inc. | Name Server: david.ns.cloudflare.com | Name Server: stella.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,cryptara.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T08:01:13.000Z,,,"Creation Date: 2025-10-16T08:01:13.000Z | Registrar: NameCheap, Inc. | Name Server: lilyana.ns.cloudflare.com | Name Server: neil.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,cyvantis.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T07:31:45.000Z,,,"Creation Date: 2025-10-16T07:31:45.000Z | Registrar: NameCheap, Inc. | Name Server: alexia.ns.cloudflare.com | Name Server: ivan.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,defentry.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T08:01:13.000Z,,,"Creation Date: 2025-10-16T08:01:13.000Z | Registrar: NameCheap, Inc. | Name Server: lilyana.ns.cloudflare.com | Name Server: neil.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,fortisec.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T08:29:23.000Z,,,"Creation Date: 2025-10-16T08:29:23.000Z | Registrar: NameCheap, Inc. | Name Server: colin.ns.cloudflare.com | Name Server: nora.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,hostinfo-service.info,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,infoseon.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T08:01:13.000Z,,,"Creation Date: 2025-10-16T08:01:13.000Z | Registrar: NameCheap, Inc. | Name Server: lilyana.ns.cloudflare.com | Name Server: neil.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,msnetsec.space,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-15T09:08:06.000Z,,,"Creation Date: 2025-10-15T09:08:06.000Z | Registrar: NameCheap, Inc. | Name Server: alexia.ns.cloudflare.com | Name Server: ivan.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,netvion.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T08:29:23.000Z,,,"Creation Date: 2025-10-16T08:29:23.000Z | Registrar: NameCheap, Inc. | Name Server: colin.ns.cloudflare.com | Name Server: nora.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,optivault.space,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-11-04T13:32:58.000Z,,,"Creation Date: 2025-11-04T13:32:58.000Z | Registrar: NameCheap, Inc. | Name Server: adelaide.ns.cloudflare.com | Name Server: gabriel.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,tastehub.online,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-10-16T07:31:45.000Z,,,"Creation Date: 2025-10-16T07:31:45.000Z | Registrar: NameCheap, Inc. | Name Server: alexia.ns.cloudflare.com | Name Server: ivan.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,unlikeu.org,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
phantomheart,domain,vitalock.space,,"NameCheap, Inc.","NameCheap, Inc.",,,2025-11-04T13:32:58.000Z,,,"Creation Date: 2025-11-04T13:32:58.000Z | Registrar: NameCheap, Inc. | Name Server: adelaide.ns.cloudflare.com | Name Server: gabriel.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.haijing88.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.fetish-friends.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,154.82.81.205,AS399077,Cloud Innovation Support,,,HK,,,154.82.81.0 - 154.82.81.255,"netname:        Tcloudnet_Inc | descr:          Tcloudnet, Inc | country:        HK | descr:          Tcloudnet, Inc | origin:         AS399077","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,108.187.37.85,,ANTBOX NETWORKS LIMITED,,,US,,,ANTBOXNETWORK,NetName:        LEASEKVM-LAX-01 | OriginAS: | OrgName:        SpeedVM Network Group LLC | Country:        US | NetName:        ANTBOXNETWORK | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,108.187.41.221,,ANTBOX NETWORKS LIMITED,,,US,,,ANTBOXNETWORK,NetName:        LEASEKVM-LAX-01 | OriginAS: | OrgName:        SpeedVM Network Group LLC | Country:        US | NetName:        ANTBOXNETWORK | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,108.187.42.63,,ANTBOX NETWORKS LIMITED,,,US,,,ANTBOXNETWORK,NetName:        LEASEKVM-LAX-01 | OriginAS: | OrgName:        SpeedVM Network Group LLC | Country:        US | NetName:        ANTBOXNETWORK | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,139.180.128.251,AS20473,IRT-CHOOPALLC-AP; Choopa LLC administrator,,,SG,,,SGP_VULTR_CUST,"NetName:        APNIC | OriginAS: | OrgName:        Asia Pacific Network Information Centre | Country:        AU | netname:        SGP_VULTR_CUST | descr:          SGP_VULTR_CUST | country:        SG | country:        ZZ | country:        US | origin:         AS20473 | descr:          The Constant Company, LLC","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,154.82.81.192,,,,,,,,,rdap_error:HTTP Error 404: Not Found,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,192.163.167.14,,ANTBOX NETWORKS LIMITED,,,US,,,ANTBOXNETWORK,NetName:        LEASEKVM-NETWORK-GROUP | OriginAS: | OrgName:        SpeedVM Network Group LLC | Country:        US | NetName:        ANTBOXNETWORK | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,192.229.115.229,,ANTBOX NETWORKS LIMITED,,,US,,,ANTBOXNETWORK,NetName:        LEASEKVM-NETWORK-GROUP | OriginAS: | OrgName:        SpeedVM Network Group LLC | Country:        US | NetName:        ANTBOXNETWORK | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,192.238.205.47,,ANTBOX NETWORKS LIMITED,,,US,,,ANTBOX-NETWORKS-5,NetName:        LEASEKVM-NETWORK-GROUP | OriginAS: | OrgName:        SpeedVM Network Group LLC | Country:        US | NetName:        ANTBOX-NETWORKS-5 | OriginAS: | Country:        CN,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,207.56.119.216,,"NTT America, Inc.; VIPAR; NTT DATA",,,US,,,NTTA-207-56,"NetName:        NTTA-207-56 | OriginAS: | OrgName:        NTT America, Inc. | Country:        US","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,207.56.138.28,,"NTT America, Inc.; VIPAR; NTT DATA",,,US,,,NTTA-207-56,"NetName:        NTTA-207-56 | OriginAS: | OrgName:        NTT America, Inc. | Country:        US","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,45.118.133.203,AS63949,LINODE LLC - network administrator; IRT-LINODE-AP,,,SG,,,LINODE-AP,netname:        LINODE-AP | descr:          Akamai Connected Cloud / Linode | country:        SG | country:        ZZ | country:        US | origin:         AS63949 | descr:          Akamai Connected Cloud / Linode,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,45.192.219.60,AS138995,Cloud Innovation Support,,,HK,,,45.192.219.0 - 45.192.219.255,netname:        Antbox_Network_Limited | descr:          Antbox Network Limited | country:        HK | descr:          Antbox Network Limited | origin:         AS138995,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,45.32.108.178,,"Vultr Holdings, LLC",,,US,,,NET-45-32-108-0-23,"NetName:        CONSTANT | OriginAS: | OrgName:        The Constant Company, LLC | Country:        US | NetName:        NET-45-32-108-0-23 | OriginAS: | OrgName:        Vultr Holdings, LLC | Country:        SG","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,ip,57.133.212.106,,COLT-UK; Joanna Joanna; COLT Hostmaster,,,GB,,,NET-GB-Tianfeng-HongKong-Communications-Limited,NetName:        RIPE-ERX-57 | OriginAS: | OrgName:        RIPE Network Coordination Centre | Country:        NL,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.3mkorealtd.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.doublemobile.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.ilptour.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.petitechanson.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.sudsmama.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,abc.woopami.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,mcagov.cc,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,roldco.com,,Contact Privacy Inc. Customer 0177992670,Tucows Domains Inc.,Contact Privacy Inc. Customer 0177992670,CA,2026-04-09T21:16:17Z,roldco.com@contactprivacy.com; no-reply@registrar.shopify.com,,"Creation Date: 2026-04-09T21:16:17 | Registrar: TUCOWS.COM, CO. | Registrant Name: Contact Privacy Inc. Customer 0177992670 | Registrant Organization: Contact Privacy Inc. Customer 0177992670 | Name Server: ns-cloud-a1.googledomains.com | Name Server: ns-cloud-a2.googledomains.com | Name Server: ns-cloud-a3.googledomains.com | Name Server: ns-cloud-a4.googledomains.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
abcdoor,domain,vnc.kcii2.com,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,sgp1.vultrobjects.com,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,ams1.vultrobjects.com,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,micbucket.ams1.vultrobjects.com,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,ppt1.sgp1.vultrobjects.com,,Cloud-managed hostname (Azure/CF/Vultr Objects) — registrant not actor-attributable via WHOIS alone,,,,,,,cloud_managed_skip_detailed_whois,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,handala-hack.to,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,handala-redwanted.to,,,,,,,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,justicehomeland.org,,Tucows Domains Inc.,Tucows Domains Inc.,,,2023-02-01T19:30:31Z,,,PRIVACY_REDACTED; Creation Date: 2023-02-01T19:30:31Z | Registrar: Tucows Domains Inc. | Name Server: ns1.fbi.seized.gov | Name Server: ns2.fbi.seized.gov,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
heavygram,domain,karmabelow80.org,,Tucows Domains Inc.,Tucows Domains Inc.,,,2023-11-19T21:04:34Z,,,PRIVACY_REDACTED; Creation Date: 2023-11-19T21:04:34Z | Registrar: Tucows Domains Inc. | Name Server: ns1.fbi.seized.gov | Name Server: ns2.fbi.seized.gov,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
promptspy,domain,mgardownload.com,,c/o whoisproxy.com,"Amazon Registrar, Inc.",c/o whoisproxy.com,US,2026-01-13T05:47:51Z,trustandsafety@support.aws.com; ee0def9c3b684c1de6457516c1c3b56b20510e060409d238ad67d0782d056311@mgardownload.com.whoisproxy.org; ee0def9c3b684c1de6457516c1c3b56bf2b799e30aaa6aa08c73e43c385e9e94@mgard,,"Creation Date: 2026-01-13T05:47:51Z | Registrar: Amazon Registrar, Inc. | Registrant Name: On behalf of mgardownload.com OWNER | Registrant Organization: c/o whoisproxy.com | Name Server: ns-1203.awsdns-22.org | Name Server: ns-1648.awsdns-14.co.uk | Name Server: ns-314.awsdns-39.com | Name Server: ns-686.awsdns-21.net","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
promptspy,domain,m-mgarg.com,,"GMO Internet Group, Inc. d/b/a Onamae.com","GMO Internet Group, Inc. d/b/a Onamae.com",,,2026-06-22T02:19:30Z,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
promptspy,ip,54.67.2.84,,Amazon Technologies Inc.,,,US,,,AMAZON-2011L,NetName:        AMAZON-2011L | OriginAS: | OrgName:        Amazon Technologies Inc. | Country:        US,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
ghostchat,domain,hitpak.org,,1API GmbH,1API GmbH,,,2024-12-16T04:28:59Z,,,PRIVACY_REDACTED; Creation Date: 2024-12-16T04:28:59Z | Registrar: 1API GmbH | Name Server: bryce.ns.cloudflare.com | Name Server: sky.ns.cloudflare.com,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
moviereaper,domain,deadhub.org,,"NameCheap, Inc.","NameCheap, Inc.",,,2026-07-23T10:31:17Z,,,"PRIVACY_REDACTED; Creation Date: 2026-07-23T10:31:17Z | Registrar: NameCheap, Inc. | Name Server: dns1.registrar-servers.com | Name Server: dns2.registrar-servers.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
moviereaper,ip,193.23.118.155,AS214036,"LAYERSWITCH-MNT; Ultahost, Inc.",,,NL,,,LSW-CUST-ULTAHOST,netname:        LSW-CUST-ULTAHOST | country:        NL | origin:         as214036 | origin:         as49127,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
moviereaper,ip,208.64.33.90,,Private Customer,,,US,,,SOMEE-CH,NetName:        SOMEE-JOES1 | OriginAS: | OrgName:        Somee International LLC | Country:        US | NetName:        SOMEE-CH | OriginAS: | Country:        CZ,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
moviereaper,ip,208.94.246.53,,CyberCloud Professionals LLC,,,US,,,JOESDC-01,NetName:        JOESDC-01 | OriginAS: | OrgName:        CyberCloud Professionals LLC | Country:        US,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
c2looper,ip,45.158.196.23,AS207461,BeniGaz; sc-rapidseedbox-1-mnt; Rapid Seedbox; Abuse-C Role,,,US,,,US-Internet,netname:        US-Internet | country:        US | origin:         AS207461,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
c2looper,ip,45.158.196.184,AS207461,BeniGaz; sc-rapidseedbox-1-mnt; Rapid Seedbox; Abuse-C Role,,,US,,,US-Internet,netname:        US-Internet | country:        US | origin:         AS207461,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
smartrat,domain,crefisa.online,,"HOSTINGER operations, UAB","HOSTINGER operations, UAB",,,2026-01-27T00:30:18.000Z,,,"Creation Date: 2026-01-27T00:30:18.000Z | Registrar: HOSTINGER operations, UAB | Name Server: ns1.dns-parking.com | Name Server: ns2.dns-parking.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
smartrat,domain,vfsgloball.net,,Wix.com Ltd.,Wix.com Ltd.,,,2026-01-10T06:13:24Z,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
smartrat,domain,cartaobb.com,,Tucows Domains Inc.,Tucows Domains Inc.,,,2026-02-24T13:56:04Z,,,,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
smartrat,domain,windowsupdate-cdn.com,,Registrant Street: DATA REDACTED,"Cloudflare, Inc.",Registrant Street: DATA REDACTED,BR,2026-01-09T18:58:08Z,,,"PRIVACY_REDACTED; Creation Date: 2026-01-09T18:58:08Z | Registrar: Cloudflare, Inc. | Registrant Name: DATA REDACTED | Registrant Organization: | Name Server: arturo.ns.cloudflare.com | Name Server: penny.ns.cloudflare.com","Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
smartrat,ip,64.95.13.238,,BL Networks,,,US,,,BNL-77,NetName:        BNL-77 | OriginAS: | OrgName:        BL Networks | Country:        US,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
smartrat,ip,162.141.111.227,,Jake Brander; lir-us-brander-group-1-MNT; netutils-mnt; Brander Group Inc.; Internet Utilities Abuse Contact,,,US,,,BranderIPXO,NetName:        RIPE | OriginAS: | OrgName:        RIPE Network Coordination Centre | Country:        NL,"Passive WHOIS/RDAP only; privacy-redacted records do not establish operator identity. Cloud hostnames are infrastructure, not actor orgs."
