Process Name,App Name,DLL Count,SHA256
javadoc.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,726ca5c30bcb5aa848102ccd40c968742b0b9ead841a7eed8edcc782ced12f96
javac.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,4058d811ca17644bd9e05614cca248d5a30e01853b35b1dc94ab3848bf518f93
java.exe,OpenJDK Platform 25.0.2 v25.0.2.0,2,63267782812f84001922687feeaa93c3218c7a1f03409f0650dcdbef2e7bc8cb
identity_helper.exe,Microsoft Edge v148.0.3967.96,3,72a7c6a492a3cacce1994c675f5e94339f9c5e323e29d36e2ed2c5c988bbfd0d
id.exe,id v0.0.0.0,4,
head.exe,head v0.0.0.0,4,c82ae2ef72235a34db7007580628cd5183cb350878a10fcc98b6ef26b92a3537
grep.exe,grep v0.0.0.0,5,497202418334f8a48d9f34cd2e1b2c03c4f957e02304b613e10931c0457e8d4a
git-upload-pack.exe,Git v2.54.0.1,6,e902eb7977e543a54e9ad7f579a53b64de3470ba5b9b1dd9095d107164f4cc21
git-upload-archive.exe,Git v2.54.0.1,6,fcdab9b72ceeab411720661ae7fc03791952d8f5b1660610f20ad2300e1c22ad
git-sh-i18n--envsubst.exe,Git v2.54.0.1,6,f5ac5bace9566501be8c54e469bd6ce40ae3be8d8902e577f0e5b78cd0aa10b6
git-remote-https.exe,Git v2.54.0.1,6,f4c9d7f2f85b795603f501c25ad63fff82fce233ae0fc3d48e4e3c8669e5d788
git-remote-http.exe,Git v2.54.0.1,6,fcdab9b72ceeab411720661ae7fc03791952d8f5b1660610f20ad2300e1c22ad
git-remote-ftps.exe,Git v2.54.0.1,6,f4c9d7f2f85b795603f501c25ad63fff82fce233ae0fc3d48e4e3c8669e5d788
git-remote-ftp.exe,Git v2.54.0.1,6,f4c9d7f2f85b795603f501c25ad63fff82fce233ae0fc3d48e4e3c8669e5d788
git-receive-pack.exe,Git v2.54.0.1,6,5c6ef4561fe38aebf7d8d5b2ce265e0bff9d915d3b8caeeb8fe72798d9e16b21
git-imap-send.exe,Git v2.54.0.1,7,0cd9a55c9c57dfa096e272fda45eed4e832134b0f4c5a157fbca6dffb9677534
git-http-push.exe,Git v2.53.0.3,7,829f5676bad53bef52181366833a64acf99984cd45aed9383447cf269bed00db
git-http-fetch.exe,Git v2.54.0.1,6,c86bc8c30b5956fef9c28fc53d896ea79a40c4f1b1159e2a91d7a33291864488
git-http-backend.exe,Git v2.54.0.1,6,369b009bdf36eb97d3c590d96f68d1323d910c19ceff526aa33d6b186ef9503b
git-daemon.exe,Git v2.54.0.1,6,4b33e90cf09b3edb681513084400f5265ee682ae6111ba651e86cee3dd2a9ddb
git.exe,Git v2.54.0.1,6,cab4c4eea1d869cf9f7be73868dc9a90ad2df1b1b673e5f8c8714a576c25ea96
getopt.exe,getopt v0.0.0.0,4,9ab321a755847a5cb427246ef063b2b6cd74673ff866a0836f6d56b90f8fe41f
find.exe,find v0.0.0.0,4,e198602f4b8dadb8a6fa78899cb8ded460a63778bbedf7700985b24dd48031b4
file.exe,file v0.0.0.0,7,9c765a82bd2060936e562cb216107fb5611f865ec64ce9b55116cf606bbc15e4
expr.exe,expr v0.0.0.0,5,e1608f26781374b67f180370dc50c833bfc61946aadfb433e48536590bb79219
env.exe,env v0.0.0.0,4,b5d80f13e6b4b422a8c22d32be9cc1f5fd9b482fc60008ed80e513a2fa938cdc
echo.exe,echo v0.0.0.0,4,629697ea64fad72bceda3b2a6fe3c60c79e1a55e0a79de54f04ddf840907cf41
dirname.exe,dirname v0.0.0.0,4,53896fda354605a1a1d1f5e6802daba5ba6c05961f3074b892194e068aa82772
diff3.exe,diff3 v0.0.0.0,4,913e23ff6b2f9dc204b92a181ac993e3ce7c8c5bcd68db3f7662224a1896a975
diff.exe,diff v0.0.0.0,4,d64621f766d8910a92cb3d99bd7f23c0b1c736eece0e19dccbccead93aa81854
date.exe,date v0.0.0.0,4,743228ae082e1128a2aff02414e114dc45a51f7461775bc5750d89307f3ccdac
cut.exe,cut v0.0.0.0,4,63fcfb76c80d57538312a9637429d5a4b99ac83e8b00d95684609b4c045471e9
cp.exe,cp v0.0.0.0,4,5f91e0b445edb4e4c17e9a660ac29239f6cac5a821a173a86d4332b9eaa8cea3
comm.exe,comm v0.0.0.0,4,7b1a630adb1d85b4f3dd8247a45a914ead7bc34e8b72b8c4a1f12baa82aa80f4
CodeCoverage.exe,Microsoft® Visual Studio® v18.1.26126.712602,2,3f1641c3f2f944f177b6f961d25d5675c6064e74a053f171490cd0e9ab4365e5
cmp.exe,cmp v0.0.0.0,4,9436e2a0a92e8f31e02077785f075fb62d05074d4ce257c53434b93497b0eb2d
cat.exe,cat v0.0.0.0,4,f1b37048ee5c70fdc31dde509e562261c9b2d102d94c903393f55b45e883ef90
bscmake.exe,Microsoft® Visual Studio® v14.50.35729.0,3,239a84ac06e9e0656f2bb09cff3b0672ccc60da1e4f5cf75f7d449e77cfe6d76
brotli.exe,brotli v0.0.0.0,4,ba1fb21bdacc911fb2becb98739eeabd87295c646a21b7f2e500db566eb30dee
basenc.exe,basenc v0.0.0.0,4,39a435a6a46a997417630bbc5374e89f3d34673eb10e65cee6122a6bb547d47e
basename.exe,basename v0.0.0.0,4,6fe2e201a956304503f808d0909a26d9b49e1a7e99f6ee6d93721ac4a76a7c6e
b2sum.exe,b2sum v0.0.0.0,4,604deb03fc039e3588a782010774a9d7b4f785f015323a4f4739ac26070569a4
awk.exe,awk v0.0.0.0,9,c57f626dd07175e23aaef766d9c699fce950483b1ceb665c4771a45d87c14099
ADelRCP.exe,ADelRCP Dynamic Link Library v26.1.21367.0,2,427f73c5ac9648b43487585882525bf83b40512d14f855c819702d45dbcbef1e
install.exe,install v0.0.0.0,7,9570f5218bf0b656b74749470742dd5535d164ba4d7aff737287afab5443f1a6
