domain,source,confidence,family,status,notes
dnshnsdev.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
hpjumpsrv.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
storview.azurewebsites.net,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
msmanagementgrp.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
msmanagementgrpmedia.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,High,noderabbit,PRIMARY,Azure/Cloudflare-backed C2 context. Shared cloud IP != actor-owned. agent:servers makes lists perishable. NOT OBSERVED by ETW. Alias NOD-EV in seed pass.
healthful-hub.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Kaspersky pattern-based additional Mirage Kitten asset (NameCheap). Not sample-bound to NodeRabbit implant. NOT OBSERVED ownership.
neumedicahealthcare.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset. ASSOCIATION_ONLY until sample linkage.
optimumhealthcredit.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
healthfullyrecipes.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
refreshhealthandwellness.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
healthvitalitycare.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
aceofspadesmanagement.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
glmediaagency.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
digimediaskill.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
healthyweightplan.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
mens-health-online.com,https://securelist.com/mirage-kitten-new-backdoors-noderabbit-pollcat/121244/,Moderate,noderabbit,PRIMARY,Pattern-based additional asset.
